15, 7, 24
14, 8, 23
15, 7, 23
17, 6, 23
16, 6, 23
15, 7, 22
14, 8, 22
14, 7, 22
17, 6, 22
16, 6, 22
15, 6, 22
15, 7, 21
14, 8, 21
14, 7, 21
17, 6, 21
16, 6, 21
15, 6, 21
15, 7, 20
14, 8, 20
13, 8, 20
14, 7, 20
17, 6, 20
16, 6, 20
15, 6, 20
14, 6, 20
15, 7, 19
14, 8, 19
16, 7, 19
13, 8, 19
14, 7, 19
17, 6, 19
16, 6, 19
15, 6, 19
15, 7, 18
14, 8, 18
16, 7, 18
12, 9, 19
14, 6, 19
17, 6, 18
16, 6, 18
16, 7, 17
14, 7, 18
15, 6, 18
15, 7, 17
13, 8, 18
14, 8, 17
17, 6, 17
16, 6, 17
16, 7, 16
15, 7, 16
15, 8, 26
15, 8, 25
17, 7, 25
13, 9, 25
14, 8, 25
16, 7, 25
15, 7, 25
19, 6, 25
18, 6, 25
16, 7, 24
15, 8, 24
17, 7, 24
13, 9, 24
14, 8, 24
14, 7, 24
19, 6, 24
18, 6, 24
17, 6, 24
16, 6, 24
15, 6, 24
19, 6, 26
17, 6, 25
17, 7, 26
16, 7, 23
15, 8, 23
14, 9, 23
17, 7, 23
14, 7, 25
14, 8, 26
12, 10, 23
13, 9, 23
13, 8, 23
14, 7, 23
19, 6, 23
18, 6, 23
15, 6, 23
14, 6, 23
17, 5, 23
16, 5, 23
13, 9, 22
16, 7, 22
15, 8, 22
14, 9, 22
17, 7, 22
12, 10, 22
12, 9, 22
13, 8, 22
13, 7, 22
14, 6, 22
19, 6, 22
18, 6, 22
17, 5, 22
16, 5, 22
15, 5, 22
14, 5, 22
13, 9, 21
16, 7, 21
15, 8, 21
14, 9, 21
17, 7, 21
12, 10, 21
12, 9, 21
13, 8, 21
16, 7, 26
13, 7, 21
14, 6, 21
19, 6, 21
18, 6, 21
17, 5, 21
16, 5, 21
15, 5, 21
14, 5, 21
13, 9, 20
12, 10, 20
16, 7, 20
15, 8, 20
14, 9, 20
18, 6, 20
17, 7, 20
11, 10, 20
12, 9, 20
12, 8, 20
13, 7, 20
13, 6, 20
19, 6, 20
18, 5, 20
17, 5, 20
16, 5, 20
15, 5, 20
14, 5, 20
13, 9, 19
12, 10, 19
15, 8, 19
14, 9, 19
18, 6, 19
17, 7, 19
16, 8, 19
11, 10, 19
12, 8, 19
13, 7, 19
19, 6, 19
18, 5, 19
17, 5, 19
16, 5, 19
15, 5, 19
14, 5, 19
15, 8, 27
13, 9, 18
12, 10, 18
15, 8, 18
14, 9, 18
18, 6, 18
17, 7, 18
16, 8, 18
10, 11, 19
11, 9, 19
12, 9, 18
13, 6, 19
14, 6, 18
19, 6, 18
18, 5, 18
17, 5, 18
16, 5, 18
13, 9, 17
15, 8, 17
14, 9, 17
18, 6, 17
17, 7, 17
16, 8, 17
11, 10, 18
12, 10, 17
13, 7, 18
14, 7, 17
19, 6, 17
15, 5, 18
15, 6, 17
15, 8, 16
14, 9, 16
17, 7, 16
16, 8, 16
12, 8, 18
13, 8, 17
14, 8, 16
14, 5, 18
14, 6, 17
19, 6, 16
18, 5, 17
18, 6, 16
15, 8, 15
16, 8, 15
12, 9, 17
13, 9, 16
14, 9, 15
14, 7, 16
17, 5, 17
17, 6, 16
17, 7, 15
18, 7, 15
12, 10, 16
14, 8, 15
14, 9, 14
16, 5, 17
16, 6, 16
16, 7, 15
16, 8, 14
15, 6, 16
15, 7, 15
15, 8, 14
19, 6, 15
18, 6, 15
14, 9, 13
17, 7, 14
16, 8, 13
15, 8, 13
14, 9, 26
13, 10, 26
16, 8, 26
15, 9, 26
18, 7, 26
17, 8, 26
20, 6, 26
19, 7, 26
13, 9, 26
15, 7, 26
18, 6, 26
22, 5, 26
21, 5, 26
20, 5, 26
13, 8, 26
14, 9, 25
13, 10, 25
12, 11, 25
16, 8, 25
15, 9, 25
18, 7, 25
17, 8, 25
12, 10, 26
20, 6, 25
19, 7, 25
20, 6, 27
11, 11, 25
12, 10, 25
12, 9, 25
13, 8, 25
18, 7, 27
19, 7, 27
16, 8, 27
17, 8, 27
14, 9, 27
15, 9, 27
13, 7, 25
12, 11, 26
13, 10, 27
16, 6, 25
15, 6, 25
22, 5, 25
21, 5, 25
20, 5, 25
19, 5, 25
18, 5, 25
14, 9, 24
13, 10, 24
12, 11, 24
16, 8, 24
15, 9, 24
18, 7, 24
17, 8, 24
11, 11, 24
12, 10, 24
21, 6, 25
20, 6, 24
19, 7, 24
12, 9, 24
13, 8, 24
13, 7, 24
14, 6, 24
22, 5, 24
21, 5, 24
20, 5, 24
19, 5, 24
18, 5, 24
17, 5, 24
16, 5, 24
15, 5, 24
19, 5, 26
19, 6, 27
13, 10, 23
12, 11, 23
17, 5, 25
17, 6, 26
17, 7, 27
16, 8, 23
15, 9, 23
14, 10, 23
18, 7, 23
17, 8, 23
10, 12, 23
11, 11, 23
20, 6, 23
19, 7, 23
14, 5, 24
14, 6, 25
14, 7, 26
14, 8, 27
21, 6, 23
11, 10, 23
12, 9, 23
12, 8, 23
13, 7, 23
13, 6, 23
13, 9, 27
21, 6, 27
22, 5, 23
21, 5, 23
20, 5, 23
19, 5, 23
18, 5, 23
15, 5, 23
14, 5, 23
17, 4, 23
16, 4, 23
19, 7, 28
11, 11, 22
13, 10, 22
12, 11, 22
17, 8, 28
14, 9, 28
16, 8, 22
15, 9, 22
14, 10, 22
